country,in_degree,out_degree,betweenness,closeness,degree_centrality,eigenvector,eccentricity,year
USA,89946623.977,60547901.353,0.00865079365079365,0.6898381877022655,1.4755555555555555,0.5757345520804646,2,2016
Zambia,247366.42400000003,718.5029999999999,0.024246031746031745,0.5479691516709512,0.38666666666666666,0.0006706685803457304,2,2016
Antigua and Barbuda,8535.801,268.94,0.014454365079365079,0.531571072319202,0.3111111111111111,8.453168460599927e-05,2,2016
Br. Virgin Isds,3871.7389999999996,14.546000000000001,0.0,0.48226244343891406,0.09333333333333334,1.567418399594858e-05,3,2016
Sri Lanka,482317.7,7004.665000000001,0.03276124338624339,0.5654111405835544,0.6222222222222222,0.0017131816796083403,2,2016
Dominica,3766.976,1918.773,0.04702711640211641,0.5015529411764705,0.24888888888888888,2.091221296912537e-05,3,2016
Grenada,6561.201999999999,215.85100000000003,0.007410714285714286,0.5051184834123222,0.2222222222222222,4.7179659183478794e-05,3,2016
Guyana,15130.815,3010.466,0.0029265873015873016,0.5302487562189055,0.32,0.00011476806361666251,2,2016
Montserrat,231.923,701.852,0.005307539682539683,0.4726385809312639,0.10222222222222223,2.3330018332595933e-06,3,2016
Saint Kitts and Nevis,4430.106,25.916,0.012380952380952381,0.531571072319202,0.27111111111111114,4.5885864327988744e-05,3,2016
Anguilla,1039.66,73.96900000000001,0.0,0.4726385809312639,0.07555555555555556,6.158175845333306e-06,3,2016
Saint Lucia,10527.797,591.184,0.0045138888888888885,0.5087350835322195,0.24444444444444444,0.00010763406675454842,3,2016
Saint Vincent and the Grenadines,5333.54,12.077,0.028412698412698414,0.5594750656167979,0.3288888888888889,4.3372663040380233e-05,2,2016
United Rep. of Tanzania,358760.486,917.18,0.1294973544973545,0.584,0.5333333333333333,0.0008268425892018169,2,2016
Azerbaijan,221333.151,1120.909,0.0026785714285714286,0.5730107526881721,0.4,0.001021252944198571,3,2016
Kazakhstan,988609.2,17437.666999999998,5.9523809523809524e-05,0.5730107526881721,0.4888888888888889,0.006013123576154135,3,2016
Latvia,632529.4130000001,405168.74600000004,0.00017857142857142857,0.5493814432989691,0.6355555555555555,0.002709307935148045,2,2016
Rep. of Moldova,200719.16199999998,45834.917,0.004613095238095238,0.563915343915344,0.49333333333333335,0.0008865754949927428,3,2016
Eswatini,56223.781,23594.992000000002,0.010188492063492063,0.5136385542168674,0.44,0.00011784579785776684,2,2016
Bahrain,299790.083,1150.762,0.01878968253968254,0.5654111405835544,0.4311111111111111,0.0024836614505620333,2,2016
Bangladesh,263433.559,114897.621,0.0886243386243386,0.5761081081081081,0.9333333333333333,0.0012218004081991753,2,2016
Bolivia (Plurinational State of),180307.596,3496.558,0.005873015873015873,0.5423918575063614,0.35555555555555557,0.0007493241667379914,2,2016
Bosnia Herzegovina,308382.543,62349.054,0.007361111111111111,0.5565535248041775,0.4711111111111111,0.001697107975686271,2,2016
Brazil,6451959.596,1707959.8029999998,0.005406746031746032,0.584,1.0577777777777777,0.06458801246431685,2,2016
Belize,12368.845,1629.445,0.0001984126984126984,0.5329,0.30666666666666664,0.00011259435946233162,3,2016
Bulgaria,1252853.1770000001,834630.815,0.003650793650793651,0.5536623376623376,0.9422222222222222,0.0068233583178249225,2,2016
Belarus,584209.84,158293.171,0.0005158730158730158,0.563915343915344,0.56,0.003139890597565763,2,2016
Cambodia,222822.569,10108.097,0.16496031746031747,0.531571072319202,0.5333333333333333,0.0008989700856033263,2,2016
Chile,1148191.607,194825.813,0.22085648148148151,0.5730107526881721,0.6977777777777778,0.009340913008149657,2,2016
Costa Rica,712901.931,265194.022,0.0036408730158730158,0.5792391304347827,0.6622222222222223,0.004728081450404843,2,2016
Croatia,1243647.6840000001,864484.4160000001,0.009583333333333333,0.5479691516709512,0.6844444444444444,0.005081476286603261,3,2016
Cuba,144981.332,471367.803,0.054871031746031744,0.5355778894472362,0.5644444444444444,0.000712298313497174,2,2016
Cyprus,247465.905,402975.14800000004,0.0001984126984126984,0.5580104712041885,0.9644444444444444,0.00123439483070658,2,2016
Czechia,4007593.725,2253840.679,0.07940806878306877,0.5904709141274238,1.0,0.02929099420749888,2,2016
Ecuador,879728.116,77456.338,0.0044841269841269845,0.5654111405835544,0.5333333333333333,0.005221102202205834,2,2016
El Salvador,358811.23,152512.62399999998,0.0059722222222222225,0.5609473684210526,0.49333333333333335,0.0026560607890876243,2,2016
State of Palestine,125642.87699999998,20327.57,0.00029761904761904765,0.526320987654321,0.29333333333333333,0.0006661281137910161,3,2016
Ghana,199014.381,82887.57800000001,0.00031746031746031746,0.5761081081081081,0.5644444444444444,0.0008428216804698368,2,2016
Guatemala,625782.179,263536.35,0.033680555555555554,0.5699465240641711,0.5466666666666666,0.0017679316217473083,2,2016
Haiti,42672.184,7.7589999999999995,0.0,0.5148792270531402,0.20444444444444446,0.00016772401060089273,3,2016
Indonesia,840521.388,619650.442,0.007116402116402117,0.5624274406332455,0.9466666666666667,0.007134920143229713,2,2016
Iran,1601356.028,159317.268,0.0027380952380952383,0.5536623376623376,0.6711111111111111,0.011504680998898785,2,2016
Jamaica,146573.87099999998,5180.616,0.03433862433862434,0.5508010335917313,0.4177777777777778,0.0010913980989786989,2,2016
Japan,23574379.310000002,5635699.559,0.0033134920634920635,0.5714745308310992,1.1466666666666667,0.23583960569346088,2,2016
Kenya,592966.9049999999,125350.72799999999,0.1622123015873016,0.5888397790055249,0.76,0.0021662164503208794,2,2016
Kyrgyzstan,130448.734,770.2800000000001,0.0,0.5493814432989691,0.35555555555555557,0.0004565652715015539,3,2016
Lithuania,1097270.141,517774.617,0.004345238095238096,0.5580104712041885,0.7555555555555555,0.005449457449851379,2,2016
"China, Macao SAR",194125.306,8645.154,0.0044444444444444444,0.5479691516709512,0.3377777777777778,0.0012922954344636835,2,2016
Malaysia,1323764.9419999998,263804.234,0.004325396825396825,0.577669376693767,0.9511111111111111,0.010811396794590498,2,2016
Mauritius,130240.38200000001,17084.52,0.014642857142857143,0.5714745308310992,0.5466666666666666,0.0006634425122051638,2,2016
"Other Asia, nes",2679640.515,650205.889,0.03808862433862434,0.5609473684210526,0.8844444444444445,0.02552914913793732,2,2016
Mongolia,98866.874,95.423,0.01435515873015873,0.5594750656167979,0.36444444444444446,0.0004417385848360702,2,2016
Oman,385265.936,88685.887,0.0,0.5699465240641711,0.6177777777777778,0.002794528028708364,2,2016
Nicaragua,401667.451,9429.944,0.010089285714285714,0.5536623376623376,0.3688888888888889,0.0027533947652113194,2,2016
Pakistan,807494.532,288852.746,0.010257936507936508,0.5714745308310992,0.9866666666666667,0.006723561382957498,2,2016
Paraguay,240869.953,55144.117,0.0,0.5382828282828283,0.4533333333333333,0.0012989849583788732,3,2016
Philippines,1401539.483,82412.92,0.02726190476190476,0.5699465240641711,0.7288888888888889,0.009081404965952658,2,2016
Romania,2893694.5810000002,825128.176,0.00015873015873015873,0.5609473684210526,0.8,0.019408635325298153,2,2016
Slovenia,1224569.963,2522622.5100000002,1.984126984126984e-05,0.5761081081081081,0.8977777777777778,0.009679650194793318,2,2016
Syria,107424.917,1427.535,0.0,0.526320987654321,0.3244444444444444,0.0004387847876346861,3,2016
Togo,93725.17499999999,3068.457,0.0019642857142857144,0.5302487562189055,0.3244444444444444,0.0005389013836889821,3,2016
Trinidad and Tobago,143823.65600000002,2528.623,0.014642857142857143,0.5699465240641711,0.49777777777777776,0.0011253674710190813,2,2016
Turkmenistan,124362.865,236.922,0.000873015873015873,0.5075238095238096,0.2,0.00033299292070408974,3,2016
Uganda,334019.094,25765.006,0.08060515873015874,0.5594750656167979,0.4888888888888889,0.0010860435214453384,2,2016
Ukraine,1637204.8660000002,190380.543,0.0009126984126984128,0.5808174386920981,0.7911111111111111,0.011090365052329179,2,2016
Egypt,1832791.613,330084.77499999997,0.027377645502645504,0.5580104712041885,0.9377777777777778,0.0160543713971863,2,2016
Uzbekistan,563540.969,3005.237,0.0,0.5199024390243903,0.24888888888888888,0.0019190834693781833,3,2016
Venezuela,1276681.676,6898.801,0.0039484126984126984,0.5410152284263959,0.39111111111111113,0.005257341066635496,3,2016
Yemen,280706.362,62.093,0.0,0.5465641025641026,0.27555555555555555,0.0008707682960721149,3,2016
Bahamas,69754.52,7786.0650000000005,0.012628968253968254,0.5423918575063614,0.3422222222222222,0.0006518861864750119,2,2016
Armenia,111687.16799999999,15387.359,0.20008928571428572,0.57455525606469,0.49777777777777776,0.0007498339680753267,2,2016
Bhutan,5971.064000000001,438.29200000000003,0.025773809523809525,0.48889908256880743,0.11555555555555555,9.483130434669185e-06,3,2016
Botswana,190370.084,14784.063999999998,0.01830357142857143,0.5423918575063614,0.4,0.00032357019197360056,2,2016
Solomon Isds,10154.975999999999,9.378,0.0,0.5087350835322195,0.14222222222222222,2.1164850565065597e-05,2,2016
Brunei Darussalam,77836.696,209.39200000000002,0.01046626984126984,0.5148792270531402,0.27555555555555555,0.00015920740214389086,2,2016
Cayman Isds,13787.805,54.669000000000004,0.011051587301587302,0.49687645687645693,0.16444444444444445,0.00017263405411751842,2,2016
Central African Rep.,43802.259000000005,22.011,0.0,0.5063182897862233,0.18222222222222223,0.00024135697831025903,3,2016
Christmas Isds,456.58900000000006,15.368,0.0,0.42462151394422315,0.017777777777777778,1.5366730920660616e-06,3,2016
Cocos Isds,7.223,0.0,0.0,0.38828720417168067,0.0044444444444444444,1.7209260930538113e-08,3,2016
Cook Isds,831.8279999999999,3.264,0.0,0.4450104384133612,0.044444444444444446,3.23316619538561e-07,3,2016
Ethiopia,711081.732,4150.575,0.009365079365079364,0.5699465240641711,0.5022222222222222,0.005224872851117784,3,2016
Falkland Isds (Malvinas),1395.479,0.0,0.0,0.42178649237472765,0.017777777777777778,1.4770864405060672e-05,3,2016
Fiji,32153.791999999998,8672.357,0.052698412698412696,0.5396455696202531,0.3422222222222222,9.119338871662222e-05,2,2016
Djibouti,29504.543999999998,7855.498999999999,0.0013293650793650793,0.4945707656612529,0.18222222222222223,0.00013413967840006027,3,2016
Gambia,10847.271,78.227,0.0,0.49920374707259957,0.14666666666666667,6.478022532214607e-05,3,2016
Kiribati,1360.994,12.093,0.00865079365079365,0.48445454545454547,0.10666666666666666,8.74223267999249e-06,3,2016
Guam,659.548,1222.5919999999999,0.00011904761904761905,0.4603887688984882,0.08,2.184069824269445e-06,2,2016
Iceland,137928.194,114685.39499999999,0.014801587301587302,0.5479691516709512,0.5866666666666667,0.0010769758190183585,2,2016
Lao People's Dem. Rep.,35455.698,24.308999999999997,0.0,0.5003755868544602,0.16444444444444445,0.00010369407642208838,3,2016
Lesotho,49699.003,122.75400000000002,0.2424140211640212,0.5063182897862233,0.18666666666666668,6.952410117499871e-05,3,2016
Madagascar,93287.26699999999,160.096,0.0860515873015873,0.5437755102040817,0.3422222222222222,0.0004906814005031678,3,2016
Malawi,234139.58299999998,8395.726999999999,0.15253968253968253,0.5276237623762376,0.28,0.0006256094733789608,3,2016
Maldives,20844.571,4.9639999999999995,0.004378306878306879,0.5199024390243903,0.2088888888888889,3.8135477160332405e-05,2,2016
Montenegro,72084.677,12907.538,0.0022420634920634923,0.5342355889724312,0.3288888888888889,0.0003348040879605212,3,2016
Nauru,315.40299999999996,40.513,3.968253968253968e-05,0.41714285714285715,0.03111111111111111,6.471843368235602e-07,3,2016
Nepal,234891.33999999997,7832.278,0.009365079365079364,0.5508010335917313,0.4666666666666667,0.0004454704310665493,2,2016
Cura̤ao,44079.507999999994,3734.136,0.0,0.5099521531100479,0.28,0.00018988992602081718,3,2016
New Caledonia,87625.22899999999,198.57,0.0,0.4922863741339492,0.1288888888888889,0.0006590539549224568,2,2016
Vanuatu,6727.621999999999,96.316,0.0,0.4980373831775701,0.13333333333333333,1.6711172541964755e-05,2,2016
Nigeria,1017291.501,2944.872,0.12423611111111112,0.5808174386920981,0.5377777777777778,0.005036794767088573,3,2016
Norfolk Isds,329.156,0.0,0.0,0.44628861226371597,0.017777777777777778,3.7432966197686995e-07,3,2016
FS Micronesia,279.928,32.441,0.0,0.46238611713665945,0.04888888888888889,3.4815292308855927e-07,3,2016
Marshall Isds,755.176,5.785,0.0001388888888888889,0.46745614035087724,0.08,5.095222945185561e-06,3,2016
Papua New Guinea,27864.871,70.748,0.005416666666666667,0.5124038461538462,0.17777777777777778,5.538183346839977e-05,2,2016
Timor-Leste,5469.515,1.148,0.0,0.4855580865603645,0.10222222222222223,5.808513005181634e-06,3,2016
Rwanda,100207.866,196.848,0.005287698412698412,0.5396455696202531,0.31555555555555553,0.0003585975457447779,3,2016
Seychelles,7712.78,978.968,0.023194444444444445,0.517378640776699,0.2577777777777778,1.8567553660006968e-05,3,2016
Somalia,57580.541,2.1,0.0,0.5039243498817967,0.18666666666666668,0.00012254569618044942,3,2016
Zimbabwe,201753.579,2176.104,0.025376984126984126,0.5355778894472362,0.3377777777777778,0.0003400807813560488,3,2016
Suriname,12129.637999999999,931.246,0.0029067460317460316,0.5075238095238096,0.2,9.141468124171684e-05,3,2016
Tonga,1199.02,0.265,0.02503968253968254,0.48445454545454547,0.08888888888888889,1.7911402000628634e-06,3,2016
Tuvalu,239.003,73.084,0.0,0.449704641350211,0.044444444444444446,3.7454128240142925e-07,3,2016
Burundi,61217.623,647.328,0.01078373015873016,0.5211735941320293,0.2311111111111111,0.0002789496385691564,3,2016
Dem. People's Rep. of Korea,19135.157000000003,3842.697,0.002748015873015873,0.4664332603938731,0.27111111111111114,0.00011265210569236503,3,2016
Liberia,31057.423,2.338,0.11495039682539683,0.49687645687645693,0.1688888888888889,0.00016934338693048637,3,2016
Sierra Leone,50237.933000000005,291.59499999999997,0.006111111111111111,0.517378640776699,0.2577777777777778,0.0004043499295793035,3,2016
South Sudan,20473.733999999997,0.227,0.0008531746031746032,0.4800900900900901,0.10666666666666666,2.9672691599065096e-05,3,2016
Turks and Caicos Isds,2363.008,568.718,0.004474206349206349,0.47580357142857144,0.10222222222222223,3.1018872725016834e-05,3,2016
Bermuda,24931.906,2730.85,0.003998015873015873,0.5111750599520384,0.2222222222222222,0.00037609707872100377,3,2016
Aruba,34428.677,6263.050000000001,0.0,0.49687645687645693,0.15555555555555556,0.0001382136949061923,3,2016
Saint Maarten,6402.42,30.605999999999998,0.004424603174603175,0.46745614035087724,0.08444444444444445,4.8835600488255e-05,3,2016
Wallis and Futuna Isds,1277.377,4.9319999999999995,0.004424603174603175,0.44132505175983444,0.026666666666666665,9.31983775922147e-06,3,2016
Comoros,3457.438,21.235,0.0,0.48117381489841987,0.1111111111111111,2.0211388906573158e-05,3,2016
Equatorial Guinea,10000.011,67.681,0.005863095238095238,0.4800900900900901,0.1111111111111111,4.481482604065135e-05,3,2016
Eritrea,8382.448,212.45399999999998,0.0,0.4779372197309417,0.12,4.012922619357235e-05,3,2016
Gibraltar,14939.650999999998,3520.267,0.0,0.4664332603938731,0.08,0.00015239962577916913,3,2016
Guinea-Bissau,4982.256,0.0,0.0,0.47908933432318734,0.10666666666666666,1.2453840340461461e-05,3,2016
San Marino,3015.1349999999998,12730.800000000001,0.021974206349206347,0.4715929203539823,0.1511111111111111,3.498060778764668e-05,3,2016
Br. Indian Ocean Terr.,239.528,366.17199999999997,0.0,0.41632812500000005,0.017777777777777778,5.0169063526424274e-06,3,2016
Saint Helena,662.59,204.97899999999998,0.0,0.44594142259414227,0.04,5.926465889243675e-06,3,2016
Saint Pierre and Miquelon,2607.3330000000005,1.36,0.0,0.44041322314049586,0.017777777777777778,1.9792731589354892e-05,3,2016
Greenland,15491.377999999997,3.931,0.0,0.47474387527839645,0.08444444444444445,1.7747209281814858e-05,3,2016
Niue,139.08999999999997,7.964,0.0,0.38200716845878135,0.017777777777777778,3.6254967444635376e-08,3,2016
Saint Barth̩lemy,447.852,1.798,0.0,0.4107129094412332,0.008888888888888889,3.4200406044904822e-06,3,2016
Bonaire,4500.942000000001,5593.6230000000005,0.0,0.4280321285140562,0.022222222222222223,3.212855405167663e-05,3,2016
Tokelau,212.448,266.647,0.0,0.394011090573013,0.04,6.421235732127703e-07,3,2016
Fr. South Antarctic Terr.,38.115,0.0,0.0,0.4176914778856526,0.013333333333333332,3.7282764198924036e-07,3,2016
N. Mariana Isds,2.467,1.2699999999999998,0.0,0.3746221441124781,0.008888888888888889,6.467673709738266e-10,3,2016
Pitcairn,41.477999999999994,0.0,0.0,0.40973544973544973,0.008888888888888889,2.2288231305200602e-07,3,2016
Afghanistan,343954.81200000003,337.413,0.004324151185137732,0.5393239474631162,0.26339285714285715,0.0006450267625621592,2,2017
Canada,11653666.688,6932689.433999999,0.16988308776425368,0.770185637204522,1.53125,0.1327244898211614,2,2017
Dominican Rep.,502546.274,219150.791,0.015655028827674566,0.6065484621610683,0.8571428571428571,0.0036976351890579875,2,2017
Ecuador,886787.281,58650.879,0.0,0.5664328231292517,0.5267857142857143,0.004344555856551052,2,2017
Germany,50644705.43699999,80049189.754,0.0,0.7020052693208431,1.4866071428571428,0.40073400264556164,2,2017
Nepal,245767.04099999997,9716.6,0.005555333119795003,0.5575823102678571,0.4508928571428571,0.0004899013439441265,2,2017
Panama,1346846.127,634153.671,0.006586322869955157,0.5850043911007026,0.6428571428571428,0.008890379006178683,2,2017
Senegal,226589.77200000003,8708.711,0.02191103459320948,0.5802482578397212,0.5223214285714285,0.0013632584497630038,2,2017
Spain,13767219.745,12052332.282,0.0,0.6628842326404245,1.3839285714285714,0.13955703886977885,2,2017
Burkina Faso,166899.678,774.658,0.007367072389493913,0.5724909281894576,0.39285714285714285,0.0011078668269751586,2,2017
Albania,162839.35199999998,5632.189,0.004864670083279949,0.5339441574634841,0.3169642857142857,0.0008011418799052499,2,2017
Azerbaijan,262190.211,1779.828,0.0019018257527226136,0.5866071428571428,0.4508928571428571,0.0010785715559207046,2,2017
